deskId	label	room	x	y	status	reservedFor	notes
IRB3112-L1	L1	Left wall	7.82	28.08	active		
IRB3112-L2	L2	Left wall	7.82	42.47	active		
IRB3112-L3	L3	Left wall	7.82	56.85	active		
IRB3112-L4	L4	Left wall	7.82	71.23	active		
IRB3112-A1	A1	Row 1	30.91	20.89	active		
IRB3112-A2	A2	Row 1	30.91	35.27	active		
IRB3112-A3	A3	Row 1	30.91	49.66	active		
IRB3112-A4	A4	Row 1	30.91	64.04	active		
IRB3112-A5	A5	Row 1	30.91	78.42	active		
IRB3112-B1	B1	Row 1	38.18	20.89	active		
IRB3112-B2	B2	Row 1	38.18	35.27	active		
IRB3112-B3	B3	Row 1	38.18	49.66	active		
IRB3112-B4	B4	Row 1	38.18	64.04	active		
IRB3112-B5	B5	Row 1	38.18	78.42	active		
IRB3112-C1	C1	Row 2	61.82	20.89	active		
IRB3112-C2	C2	Row 2	61.82	35.27	active		
IRB3112-C3	C3	Row 2	61.82	49.66	active		
IRB3112-C4	C4	Row 2	61.82	64.04	active		
IRB3112-C5	C5	Row 2	61.82	78.42	active		
IRB3112-D1	D1	Row 2	69.09	20.89	active		
IRB3112-D2	D2	Row 2	69.09	35.27	active		
IRB3112-D3	D3	Row 2	69.09	49.66	active		
IRB3112-D4	D4	Row 2	69.09	64.04	active		
IRB3112-D5	D5	Row 2	69.09	78.42	active		
IRB3112-R1	R1	Right wall	92.18	20.89	active		
IRB3112-R2	R2	Right wall	92.18	35.27	active		
IRB3112-R3	R3	Right wall	92.18	49.66	active		
IRB3112-R4	R4	Right wall	92.18	64.04	active		
IRB3112-R5	R5	Right wall	92.18	78.42	active		
