deskId	label	room	x	y	status	reservedFor	notes
IRB3112-00	0	Left wall	11.22	30.85	active		
IRB3112-01	1	Left wall	10.54	42.61	active		
IRB3112-02	2	Left wall	9.97	53.73	active		
IRB3112-03	3	Left wall	9.18	66.48	active		
IRB3112-04	4	Left wall	8.49	76.93	active		
IRB3112-05	5	Row 1	28.33	24.55	active		
IRB3112-06	6	Row 1	28.26	36.16	active		
IRB3112-07	7	Row 1	28.42	48.30	active		
IRB3112-08	8	Row 1	28.64	59.64	active		
IRB3112-09	9	Row 1	28.26	71.49	active		
IRB3112-10	10	Row 1	37.72	24.75	active		
IRB3112-11	11	Row 1	37.46	36.14	active		
IRB3112-12	12	Row 1	37.71	47.55	active		
IRB3112-13	13	Row 1	37.79	59.28	active		
IRB3112-14	14	Row 1	37.72	71.18	active		
IRB3112-15	15	Row 2	60.77	24.17	active		
IRB3112-16	16	Row 2	61.32	35.80	active		
IRB3112-17	17	Row 2	61.56	47.19	active		
IRB3112-18	18	Row 2	62.25	58.77	active		
IRB3112-19	19	Row 2	62.65	70.26	active		
IRB3112-20	20	Row 2	69.94	23.80	active		
IRB3112-21	21	Row 2	70.46	35.20	active		
IRB3112-22	22	Row 2	71.03	46.75	active		
IRB3112-23	23	Row 2	71.50	58.26	active		
IRB3112-24	24	Row 2	72.14	69.73	active		
IRB3112-25	25	Right wall	87.52	39.65	active		
IRB3112-26	26	Right wall	88.70	50.92	active		
IRB3112-27	27	Right wall	90.04	62.38	active		
IRB3112-28	28	Right wall	91.36	74.04	active		
